number,subjID,cond,age,gender,eth,inc,house,edu
831,6mGGovzyvCUbleyuLz2m8g**,3,56,f,white,4,4,3
870,6mGGovzyvCUbM7Asho3FZw**,7,50,m,White,11,4,1
190,6mGGovzyvCUbmp5L2cNyaA**,9,55,f,white,8,5,1
383,6mGGovzyvCUbNIioKN_Rtw**,0,18,f,mexican,2,5,1
93,6mGGovzyvCUBUNZgnhnHlQ**,8,26,f,Caucasian,3,3,2
689,6mGGovzyvCUbUwoWkwbHGw**,5,39,m,white,5,4,1
878,6mGGovzyvCUBvUCP1PIJ3A**,2,51,f,Black,2,3,4
562,6mGGovzyvCUc36b8fFNtBw**,10,33,m,Caucasian,4,2,2
319,6mGGovzyvCUc9YXVLP-Jeg**,8,39,m,white,11,2,4
452,6mGGovzyvCUcAJkH1o0rvA**,9,51,m,White,7,3,3
245,6mGGovzyvCUccZM7rCB1Ew**,5,30,m,Caucasian,7,3,5
510,6mGGovzyvCUcDhqj2n7jYA**,6,45,f,native american,7,2,4
692,6mGGovzyvCUCDvqmB1LuCg**,9,44,m,whtte,9,3,6
398,6mGGovzyvCUceVf5azwqCA**,2,24,m,White,4,2,4
537,6mGGovzyvCUcEzzOmV_hkQ**,9,33,m,white,5,4,1
10,6mGGovzyvCUcF59-YVzLVQ**,9,23,f,black,5,2,2
119,6mGGovzyvCUCh7C_2ulZ5Q**,10,56,f,white,9,3,2
325,6mGGovzyvCUcjcIgfPhJzA**,1,25,f,White,7,4,2
162,6mGGovzyvCUcn54LcUT8Ww**,5,56,f,Caucasean,10,2,3
338,6mGGovzyvCUcNKldUY2UPA**,3,42,m,White,0,2,4
294,6mGGovzyvCUCPHO1QwhO6w**,6,34,m,hispanic,0,1,4
912,6mGGovzyvCUcW34CirIS_w**,1,54,m,white,1,1,5
741,6mGGovzyvCUCyiSNcVISPw**,9,37,f,white,6,4,2
405,6mGGovzyvCUd7r9jSP5rzg**,10,39,m,White,7,1,4
218,6mGGovzyvCUD9I3uLMpfzg**,3,42,m,white,11,2,5
360,6mGGovzyvCUdCtlYH2aqSg**,0,52,m,Hispanic,10,4,3
648,6mGGovzyvCUDfOsodo7sOQ**,1,22,f,Hispanic/Carribean,2,6,4
842,6mGGovzyvCUdHew0goNi_w**,2,31,f,hispanic,4,4,2
173,6mGGovzyvCUDIBTde7a4LA**,4,40,m,Caucasian,9,3,2
263,6mGGovzyvCUDkexucjzmfQ**,11,40,m,ASIAN,11,2,5
3,6mGGovzyvCUdkLY5_tYJ8w**,2,46,f,white,1,2,2
458,6mGGovzyvCUDMBmrQI4Opw**,2,30,f,White,8,3,4
408,6mGGovzyvCUDtl-QP8IaaA**,1,19,m,White,3,3,2
341,6mGGovzyvCUdU14_dDTO8w**,6,56,f,White,10,2,4
212,6mGGovzyvCUDVOJgyRUyng**,8,29,m,White,5,2,2
129,6mGGovzyvCUd-wYBXUKUKQ**,10,56,m,White,4,1,1
438,6mGGovzyvCUDxn_4kIgBjQ**,7,39,f,Asian,10,2,4
522,6mGGovzyvCUDy_GCF07HRA**,6,40,f,Mexican,10,4,4
135,6mGGovzyvCUdZ7JMf0d_Nw**,4,21,m,white,2,4,1
998,6mGGovzyvCUdZyx_XPzbMQ**,2,53,f,Caucasian,8,2,1
210,6mGGovzyvCUE_c1s-iZUHQ**,7,19,m,hispanic,2,3,2
983,6mGGovzyvCUE4g7yJtAsmQ**,11,29,f,Caucasian,2,4,2
916,6mGGovzyvCUE4qrH6LYAiA**,4,57,f,hispanic,10,2,6
293,6mGGovzyvCUeBgYvTCUgyQ**,6,42,m,Caucasian,10,5,4
143,6mGGovzyvCUEGI0QNiDdNA**,11,44,m,White,6,1,6
335,6mGGovzyvCUEHxR9gWx9Mg**,0,39,f,Hispanic,10,4,3
706,6mGGovzyvCUEiP29d4PMIA**,10,36,f,white,3,5,6
293,6mGGovzyvCUe-jScPj1ZWQ**,5,29,f,White,6,4,4
256,6mGGovzyvCUENhVBq8w_vQ**,5,28,m,White,10,4,2
193,6mGGovzyvCUeOE2LxON51w**,2,32,m,middle eastern,10,4,4
554,6mGGovzyvCUePSHHCu1VeQ**,3,56,f,white,4,3,1
403,6mGGovzyvCUeUer5xTbmLg**,8,44,m,hispanic,1,4,1
398,6mGGovzyvCUeYjCnbolJKg**,3,19,f,Filipino,11,6,2
63,6mGGovzyvCUeZpKemicltg**,2,37,f,White,8,4,4
736,6mGGovzyvCUEZWvsvYLwyA**,4,55,f,Caucasian,10,7,2
279,6mGGovzyvCU-f6YBt6N5zg**,4,19,m,Race,3,1,2
453,6mGGovzyvCUF7i7_baYnlw**,10,23,f,Asian,1,2,2
247,6mGGovzyvCUf9TdLDrO9xg**,7,31,f,white/caucasian,4,4,4
507,6mGGovzyvCUFFpDYDSidMA**,4,44,m,white,4,5,2
242,6mGGovzyvCUFG-uBvCZTIw**,3,33,m,asian,10,3,4
683,6mGGovzyvCUfgzBXMH1H3Q**,11,54,f,caucasion,7,2,2
315,6mGGovzyvCUfiDVd3K_vDg**,4,58,f,white,2,2,1
38,6mGGovzyvCUfKqzhjCnKaQ**,1,32,f,white,5,4,4
696,6mGGovzyvCUfmJIn85vzaw**,1,53,f,white,9,3,3
310,6mGGovzyvCUfQF1WbUQvKw**,11,42,f,Native American,4,2,2
395,6mGGovzyvCUfQVGdsniDNA**,0,21,m,Asian,0,2,2
117,6mGGovzyvCUFS1PFMjk-oA**,8,38,m,white,10,5,3
352,6mGGovzyvCUFsfBQdLjNpw**,5,38,m,Black,0,4,1
685,6mGGovzyvCUFt8TgDw7xqA**,2,18,f,White,3,4,2
289,6mGGovzyvCUFXIghqOlS5w**,2,46,f,hispanic,2,3,2
265,6mGGovzyvCUFZn-h0tGnVg**,1,31,f,asian,5,4,4
667,6mGGovzyvCUg4JVB2nHF7Q**,8,50,f,white,2,4,2
863,6mGGovzyvCUG9TiXQcbfQg**,11,45,m,black,3,1,4
362,6mGGovzyvCUgata-6Ly14w**,2,41,f,white,2,3,2
747,6mGGovzyvCUGC3ODzGF6Pg**,4,26,f,caucasian,5,2,6
836,6mGGovzyvCUgCDEeDKDTTA**,8,55,f,white,4,5,5
929,6mGGovzyvCUGcJC6XSCAOw**,5,42,f,African American,3,2,2
203,6mGGovzyvCU-GFGWXcEpRA**,11,37,f,White,9,5,3
244,6mGGovzyvCUGGPiwkjhQjQ**,4,35,f,Indian,10,2,4
439,6mGGovzyvCUgO4v24FHuoQ**,7,23,m,asian,2,1,5
224,6mGGovzyvCUGoNncUNmafw**,8,24,f,white,5,2,4
896,6mGGovzyvCUGrn0p1iDPZw**,9,25,f,White,4,2,6
586,6mGGovzyvCUGSgVL0q8lxg**,11,34,f,white,4,4,3
891,6mGGovzyvCUGt7aLNjFDTA**,4,43,f,White,6,5,4
982,6mGGovzyvCUGzhC55lb6iQ**,11,49,m,CAUCASION,2,4,1
729,6mGGovzyvCUh_xYEJFFjwA**,10,33,f,White,1,6,2
238,6mGGovzyvCUh2cWylmbb1w**,10,48,f,white female,2,2,2
304,6mGGovzyvCUhACOFonh4Rg**,5,32,m,hispanic,0,2,1
632,6mGGovzyvCUHdG4MMWEynQ**,9,34,m,White,8,2,6
261,6mGGovzyvCUhDw7rhLyQ_g**,9,45,f,White,4,3,4
530,6mGGovzyvCUHfPESIHFz8w**,3,55,f,white,1,1,6
430,6mGGovzyvCUhFS7Tyxeiig**,11,45,m,white,5,1,4
616,6mGGovzyvCUhU8DGBf8qrA**,5,33,f,na,5,3,4
460,6mGGovzyvCUHUU0J38nrxA**,4,46,f,White,3,3,4
416,6mGGovzyvCUhUuCVpcFOhA**,9,55,f,white,6,2,2
875,6mGGovzyvCUI4uEXvVO4uQ**,0,49,f,white,0,2,3
727,6mGGovzyvCUicZEjIGQfDg**,8,54,f,white,2,1,3
913,6mGGovzyvCUIe0dStUTySQ**,1,30,f,white,0,4,0
854,6mGGovzyvCUIeQ8CDgu69g**,3,49,f,White,11,4,6
807,6mGGovzyvCUiFuyRw77l2w**,3,51,m,white,1,1,2
520,6mGGovzyvCUiGMB0z1F5QQ**,5,55,m,White,6,2,6
664,6mGGovzyvCUihrfaxxvX1g**,5,44,m,Hispanic,3,1,3
980,6mGGovzyvCUIi1lWko7Qjg**,8,31,m,latino,5,3,3
374,6mGGovzyvCUiiWUZx8BrCg**,3,56,f,white,6,2,2
261,6mGGovzyvCUIj49l097pQw**,10,42,m,BLACK,9,3,5
840,6mGGovzyvCUIK_r0iOGWXg**,0,51,m,caucasian,3,2,1
218,6mGGovzyvCUIKyh-tBnnqA**,2,33,f,white,8,4,4
332,6mGGovzyvCUiLvuCTRoNNw**,9,42,m,white,10,1,6
781,6mGGovzyvCUIPiEQyxynwA**,1,50,f,white,1,2,2
552,6mGGovzyvCUipxQ8djVJlQ**,0,43,m,white,4,7,3
232,6mGGovzyvCUIreWwvgn-wQ**,4,54,m,Caucasian,11,3,2
516,6mGGovzyvCUITojjSkCKDA**,0,56,m,Black,2,2,4
817,6mGGovzyvCUixRpi91s3Yg**,1,57,m,White,10,2,4
104,6mGGovzyvCUizWARfY86Mg**,8,56,m,White,11,4,6
606,6mGGovzyvCU-j_1Etc78ug**,7,24,f,asian,9,2,6
523,6mGGovzyvCUJ1hP6hVtiFg**,7,18,f,Asian,2,5,1
220,6mGGovzyvCUJ2CPsJjYDRQ**,4,40,f,white,1,2,6
814,6mGGovzyvCUJ2MY_djsc9Q**,11,33,f,White,10,4,4
179,6mGGovzyvCUj4iy95I0sWg**,11,46,m,white,0,1,1
420,6mGGovzyvCUJbHyvWOktWg**,0,28,m,black,3,3,1
312,6mGGovzyvCUJc7m34Q0giA**,0,35,f,white,4,7,2
124,6mGGovzyvCUJcbW-jGl_Hw**,5,53,m,white,11,4,6
176,6mGGovzyvCUJGVs4TVMJeg**,7,55,f,white,2,2,1
469,6mGGovzyvCUJhx2U0XH54w**,2,46,m,black,5,3,1
458,6mGGovzyvCUjIrxk8NmjgQ**,3,53,f,white,3,3,3
300,6mGGovzyvCUjl9dE0Tk61A**,0,57,f,White,7,2,1
621,6mGGovzyvCUJpKUaEkdj9Q**,9,54,f,white,2,2,1
370,6mGGovzyvCUjpPI1BmshOw**,10,32,m,white,8,2,4
119,6mGGovzyvCUJsdrMSvAFBw**,0,32,m,caucasian,11,4,4
554,6mGGovzyvCUK_xsDxmFRcg**,2,37,m,White,10,2,4
670,6mGGovzyvCUk3rruaSjV5A**,11,58,m,white,3,1,3
376,6mGGovzyvCUK515NX8Lk_Q**,5,22,m,White,1,2,0
101,6mGGovzyvCUK9ZGRj5fJrw**,6,59,m,Black,2,3,3
437,6mGGovzyvCUKAguWgdg7qA**,5,38,m,Write,3,4,2
223,6mGGovzyvCUkhNsXzgKMTQ**,7,41,f,Indian,11,2,6
199,6mGGovzyvCUkiPab65rHLg**,7,51,m,chinese,6,3,4
360,6mGGovzyvCUkjEpRlQvcLA**,1,39,m,white,10,4,6
309,6mGGovzyvCU-kl0Aw501JQ**,10,22,m,African American,1,3,0
430,6mGGovzyvCUklJTRt1x9EA**,10,33,m,Caucasian,3,3,2
916,6mGGovzyvCUKmKAoFyi-pQ**,5,23,f,White,3,2,2
327,6mGGovzyvCUkmlv_EzwwTA**,4,35,m,White,1,4,0
969,6mGGovzyvCUK-nfFPN6aCQ**,9,55,f,White,6,1,4
868,6mGGovzyvCUkQXwx8r-CRg**,4,20,f,Hispanic,0,2,2
966,6mGGovzyvCUksqZRD9A7_A**,6,19,f,Latina,5,3,2
287,6mGGovzyvCUKu0oSjsAbYQ**,11,22,f,White,8,3,2
688,6mGGovzyvCUKUjvO6Sxpfw**,5,43,f,white,10,3,4
120,6mGGovzyvCUKuTIfikbVIQ**,11,28,f,mixed race,3,4,4
253,6mGGovzyvCUkvwudozz_Ww**,2,38,m,white,11,2,4
734,6mGGovzyvCUKZe3Tz4gd4g**,3,34,m,CAucasian,8,9,5
328,6mGGovzyvCUKZr-DakcDSQ**,5,57,m,white,6,2,6
459,6mGGovzyvCUl_WSmYDoMvA**,3,37,f,white,6,5,1
219,6mGGovzyvCUl7NDZrBNpdg**,3,54,f,caucasian,11,2,6
630,6mGGovzyvCULAULUtj2XcA**,7,55,f,White,4,1,3
535,6mGGovzyvCUlDsqf1auLeQ**,7,45,f,caucasion,3,3,1
897,6mGGovzyvCULeaB1mfKnnA**,9,38,f,CAUCASION,10,5,4
356,6mGGovzyvCUlikRu8RQB2A**,8,37,f,white,3,3,1
125,6mGGovzyvCULk1uhmEimKg**,6,48,m,white,10,4,6
43,6mGGovzyvCUlLt3OR0djpw**,6,25,f,Native America,1,3,3
245,6mGGovzyvCUlnbn0ipHXXg**,5,40,m,White,11,2,2
810,6mGGovzyvCUlu-lgAYyUpw**,6,54,m,Caucasian,9,1,6
330,6mGGovzyvCUlWIToVgVcmw**,7,32,m,White,6,2,6
677,6mGGovzyvCUlxKxmZhSsag**,6,59,m,multi-racial,1,5,2
213,6mGGovzyvCUm49RMJJMAsw**,9,33,f,other,4,3,4
466,6mGGovzyvCUm7rMQE1nIRg**,11,56,m,chinese,6,1,6
468,6mGGovzyvCUMbfwPC-5WxQ**,0,23,f,White,4,2,1
908,6mGGovzyvCUMBsi_6cRDbw**,8,58,f,white,6,2,2
426,6mGGovzyvCUmcdBt8_gvZA**,7,35,m,LATIN,7,3,4
527,6mGGovzyvCUMD8Zb2qcO1g**,0,42,f,black and white,4,7,2
178,6mGGovzyvCUMFRoorQUYQw**,11,29,m,white,8,3,6
732,6mGGovzyvCUmGfTEr0Belg**,0,42,m,White,7,2,4
355,6mGGovzyvCUmgorZ9Rx5Mg**,7,44,f,white,1,5,2
365,6mGGovzyvCUMoe1jXNorDA**,5,22,f,White,2,3,2
132,6mGGovzyvCUmWwrBGl3XIw**,11,41,f,Caucasian,10,4,4
777,6mGGovzyvCUmXV3fOnpUuQ**,9,38,m,Caucasian,7,5,3
630,6mGGovzyvCUN_V36V5R67g**,6,19,f,African American,3,5,2
286,6mGGovzyvCUn1qmv4TVISA**,10,29,m,Asian,9,2,6
182,6mGGovzyvCUN6qEHwJmRWA**,1,58,m,Anglo Saxon,8,2,4
476,6mGGovzyvCUn9xt9AFkyDA**,8,28,m,White,7,2,6
509,6mGGovzyvCUnb1j_NWgbJg**,5,41,m,Caucasian,3,2,2
234,6mGGovzyvCUne2Z626sXkg**,7,38,m,White,0,5,0
809,6mGGovzyvCUNFnVafwXfvQ**,5,47,m,white,7,4,5
241,6mGGovzyvCUnicJ9sDxWCA**,1,58,f,white,7,7,1
519,6mGGovzyvCUnIrv4T69KUg**,3,58,f,human,2,6,2
278,6mGGovzyvCUNJs0oadqRLg**,3,53,m,White,1,1,4
742,6mGGovzyvCUNkwEJcr5EVw**,11,44,m,Caucasian,10,2,6
355,6mGGovzyvCUnMvfnpqloUA**,8,28,f,Asian,4,6,6
607,6mGGovzyvCUNnaWWQ2cL3g**,8,35,f,Hispanic,3,3,2
79,6mGGovzyvCUnNrCEvwgzlg**,6,25,m,Asian,4,1,6
219,6mGGovzyvCUnNRTSwxhaYQ**,4,21,m,White,2,1,2
280,6mGGovzyvCUNpwl-lQr2oQ**,4,27,m,white,5,1,4
771,6mGGovzyvCUNT08gBH6uvw**,3,39,m,White,6,5,2
698,6mGGovzyvCUntvV41ORz_A**,2,54,f,White,2,2,3
587,6mGGovzyvCUNuaQS_5BwgA**,0,31,f,white,4,4,3
957,6mGGovzyvCUNVyYu7vocVg**,9,55,f,Whit,7,2,3
299,6mGGovzyvCUnwI6-hLKLJw**,0,59,m,black,2,2,1
336,6mGGovzyvCUnyfS3ssBX6w**,1,38,m,White,10,3,4
620,6mGGovzyvCUNzSmzDSjthA**,8,49,f,Latina,1,1,6
414,6mGGovzyvCUo_vzoUkhZlA**,7,35,f,white,2,4,4
382,6mGGovzyvCUo3iqd5l-IUQ**,11,18,m,Hispanic,1,5,2
154,6mGGovzyvCUo6glmyWxKrQ**,11,24,m,White,9,1,2
778,6mGGovzyvCUO6yAvRlCO5Q**,10,30,m,White,5,2,0
172,6mGGovzyvCUoBNUKauGxCA**,3,33,m,Black,6,2,5
785,6mGGovzyvCUoEIkGIKH3Jw**,5,57,m,white,7,3,4
177,6mGGovzyvCUOfhk_dA5Q2g**,10,40,m,white,2,1,5
222,6mGGovzyvCUOfjeQLkc8jw**,5,26,f,white,5,3,3
262,6mGGovzyvCUOgpcmK7_38g**,10,48,f,White,7,2,2
643,6mGGovzyvCUohr8JomoTog**,8,35,f,African America ,11,4,2
906,6mGGovzyvCUoii-pbVkQEA**,6,38,f,White,3,6,1
998,6mGGovzyvCUojRyNk1Dl8Q**,3,52,m,Caucasian ,4,1,4
497,6mGGovzyvCUOsmrQE7Wx9g**,5,45,f,white,8,3,3
728,6mGGovzyvCUOT3CetKQqaw**,9,46,f,white,7,4,3
921,6mGGovzyvCUOuMC0dyrVLg**,9,23,m,whte,5,2,4
275,6mGGovzyvCUOVA89Ibv2rQ**,11,55,f,African america,6,2,3
339,6mGGovzyvCUOVmlglfZ77w**,4,43,m,White,10,6,5
396,6mGGovzyvCUOYnzrwGYwwA**,0,50,f,hispanic,3,4,2
441,6mGGovzyvCUP_hJ2p9UUbA**,10,59,f,white,3,3,1
934,6mGGovzyvCUP1YJOjqbGfg**,10,46,f,caucasian,9,3,1
217,6mGGovzyvCUP4H4vCr9Yng**,0,36,m,white,9,4,4
170,6mGGovzyvCUP9NpCL_yJKA**,3,40,m,white,4,2,0
967,6mGGovzyvCUpAvX8lYfp3w**,8,34,m,W,10,2,1
642,6mGGovzyvCUpcAHULGMAeQ**,7,31,f,WHITE,10,4,4
790,6mGGovzyvCUpCD8GA851-g**,11,54,m,white,7,3,1
137,6mGGovzyvCUpFxnLYBVdIQ**,6,41,m,white,0,1,4
393,6mGGovzyvCUPIwnno13d8Q**,10,22,m,Caucasian,0,1,4
892,6mGGovzyvCUpKg6s8hnJJg**,5,48,m,white,10,2,1
432,6mGGovzyvCUpKls0wHWn4w**,1,44,m,white,8,4,3
269,6mGGovzyvCUPMjmH39f_iQ**,5,51,f,white,1,2,2
439,6mGGovzyvCUPnLFh7qRmlw**,8,49,m,afro-american,7,1,4
274,6mGGovzyvCUPNo4_0NQgdQ**,11,24,f,white,2,2,6
134,6mGGovzyvCUpORb54O9xxA**,3,48,m,caucasian,9,5,4
166,6mGGovzyvCUpPlyV1zHI4Q**,10,33,f,caucasian,8,2,4
325,6mGGovzyvCUpTENgEXkN0g**,2,46,f,white,10,2,4
875,6mGGovzyvCUPuceu5ELtsg**,11,38,f,White,11,3,6
675,6mGGovzyvCUPW_GwCWNA3Q**,3,38,m,White/Caucasian ,0,3,1
656,6mGGovzyvCUpXxfL2Pvc6g**,9,47,m,white,9,2,1
163,6mGGovzyvCUPzfyB22f9GQ**,8,39,m,White,0,1,4
865,6mGGovzyvCUq0KC9qkJA8A**,2,26,m,asian,6,3,2
365,6mGGovzyvCUq2LF-7Uatjw**,6,42,m,whitw,10,5,6
967,6mGGovzyvCUq5c9tWkl83A**,7,50,f,White,6,4,4
504,6mGGovzyvCUq6iUMAoEqZw**,1,45,m,EuroAmerican,6,5,5
502,6mGGovzyvCUqathxvpfGmA**,10,22,m,White,0,2,4
209,6mGGovzyvCUqEfBwDfkDPA**,6,37,m,White,10,2,6
824,6mGGovzyvCUqhwI7LQTlYQ**,9,55,m,white,7,5,6
336,6mGGovzyvCUQKN93x5qpOg**,0,42,m,white,5,6,4
425,6mGGovzyvCUqL-A-Icyh5A**,6,24,f,hispanic,2,5,1
146,6mGGovzyvCUQp2M59ZnOuA**,1,33,f,white,7,3,3
757,6mGGovzyvCUqqEhIdC97yg**,2,47,f,caucasian,10,7,3
772,6mGGovzyvCUQqHQc_UmFaQ**,5,59,m,caucasion,7,4,3
792,6mGGovzyvCUqragnbLiA5Q**,1,31,f,imdian,10,3,4
641,6mGGovzyvCUQsexYeSjOzA**,5,29,f,Hispanic,4,4,2
192,6mGGovzyvCUQthlIQkRb8Q**,0,59,f,white,3,2,4
642,6mGGovzyvCUQtjydO16m-A**,6,28,f,caucasion,6,1,4
