Subject,Large Acc,Income,House,Split,Income2,SES2,Free hrs,Expense,Wait min,Checking,Savings,Bonds,Stock,CDs
59,1,3,4,0,35000,17500,12,2,15,1,0,0,0,0
60,0,1,2,0,15000,10606.60172,4,6,60,1,1,0,0,1
61,1,5,2,1,55000,38890.87297,12,2,10,1,1,0,1,0
62,0,0,1,0,5000,5000,20,3,0,0,1,0,0,1
63,1,2,2,0,25000,17677.66953,1,4,30,1,1,0,0,0
64,0,4,2,1,45000,31819.80515,2,9,30,0,1,1,1,1
65,1,6,4,1,65000,32500,5,6,20,0,0,1,0,0
66,0,7,1,1,75000,75000,8,6,5,1,1,1,1,1
67,1,9,6,1,95000,38783.58759,6,2,150,1,0,0,0,0
68,0,1,2,0,15000,10606.60172,6,7,45,0,1,1,0,1
69,1,2,4,0,25000,12500,5,6,30,1,0,0,0,0
71,1,10,4,1,125000,62500,3,6,5,1,1,0,1,1
72,0,0,5,0,5000,2236.067977,2,3,80,0,0,0,0,1
76,0,5,2,1,55000,38890.87297,6,11,2,1,1,0,1,1
78,0,0,5,0,5000,2236.067977,5,6,5,0,1,0,0,1
79,1,3,4,0,35000,17500,4,4,35,1,1,0,0,0
80,0,2,3,0,25000,14433.75673,5,2,15,0,1,1,0,1
81,1,3,2,0,35000,24748.73734,8,1,5,1,1,0,1,0
82,0,6,2,1,65000,45961.94078,2,4,15,0,1,0,1,0
84,0,4,5,0,45000,20124.6118,5,11,30,1,1,1,1,1
85,1,4,3,1,45000,25980.76211,1,1,5,1,1,0,0,0
86,0,1,4,0,15000,7500,2,7,3,1,1,0,0,1
87,1,2,2,0,25000,17677.66953,2,5,0,1,1,0,0,0
88,0,11,3,1,150000,86602.54038,1,5,2,0,1,1,1,0
89,1,4,4,0,45000,22500,7,5,10,1,1,1,1,0
90,0,5,4,1,55000,27500,5,1,2,0,1,0,1,1
92,0,11,4,1,150000,75000,8,6,0,0,1,1,1,1
93,1,9,3,1,95000,54848.27557,10,4,20,1,0,0,0,0
94,0,7,8,1,75000,26516.50429,1,4,15,0,1,1,1,1
95,1,5,2,1,55000,38890.87297,5,6,10,1,1,0,0,0
96,0,3,2,0,35000,24748.73734,24,8,20,0,1,1,1,1
97,1,4,2,1,45000,31819.80515,14,7,15,1,1,0,0,0
98,0,2,1,1,25000,25000,2,6,15,0,1,0,0,0
99,1,2,4,0,25000,12500,3.5,7,60,1,1,0,0,0
101,1,4,2,1,45000,31819.80515,2,3,10,1,1,0,1,0
102,0,0,1,0,5000,5000,12,5,30,1,1,0,0,1
103,1,2,3,0,25000,14433.75673,1,6,30,1,1,0,0,0
104,0,2,2,0,25000,17677.66953,5,6,0,1,1,1,1,1
105,1,1,1,0,15000,15000,8.5,4,10,1,1,0,1,0
106,0,7,1,1,75000,75000,1.5,3,30,1,1,1,1,1
107,1,2,2,0,25000,17677.66953,24,7,40,1,1,0,0,0
108,0,9,2,1,95000,67175.14421,8.5,7,5,1,1,1,1,1
109,1,4,5,0,45000,20124.6118,4,10,60,1,1,0,0,0
110,0,3,3,0,35000,20207.25942,6,11,15,1,1,0,1,0
111,1,3,4,0,35000,17500,2,11,5,1,1,0,0,0
113,1,8,2,1,85000,60104.0764,6,5,30,1,1,1,1,0
114,0,3,1,1,35000,35000,3,1,0,0,1,0,1,1
115,1,6,3,1,65000,37527.7675,4,2,0,1,0,0,0,0
116,0,1,3,0,15000,8660.254038,5,9,120,1,1,0,0,0
117,1,6,2,1,65000,45961.94078,7,5,6,0,1,0,0,0
119,1,10,5,1,125000,55901.69944,4,8,60,1,1,0,0,0
120,0,8,4,1,85000,42500,5,4,30,0,1,1,1,1
122,0,9,3,1,95000,54848.27557,10,7,5,1,1,0,1,1
123,1,10,3,1,125000,72168.78365,2,3,5,1,1,0,1,0
124,0,2,2,0,25000,17677.66953,4,3,5,0,1,0,1,1
125,1,5,3,1,55000,31754.26481,0.5,5,3,1,1,0,0,1
126,0,4,3,1,45000,25980.76211,3,5,10,1,1,0,1,1
127,1,2,2,0,25000,17677.66953,5,5,20,1,1,0,0,0
128,0,4,2,1,45000,31819.80515,4,1,30,0,1,0,1,0
129,1,1,1,0,15000,15000,20,10,10,1,0,0,0,0
130,0,1,4,0,15000,7500,5,3,10,0,1,1,1,0
131,1,4,1,1,45000,45000,3,3,10,1,1,0,1,0
132,0,5,3,1,55000,31754.26481,3,4,45,1,1,0,1,1
133,1,9,4,1,95000,47500,1,5,5,1,1,0,0,0
134,0,1,2,0,15000,10606.60172,4,9,15,1,1,1,1,1
136,0,3,7,0,35000,13228.75656,2,9,30,0,1,1,0,1
137,1,0,1,0,5000,5000,2,8,15,1,1,0,0,0
138,0,3,4,0,35000,17500,12,6,100,0,1,1,1,1
139,1,0,5,0,5000,2236.067977,10,9,5,1,1,0,0,0
140,0,1,1,0,15000,15000,2,3,10,0,1,0,1,1
141,1,4,3,1,45000,25980.76211,24,4,45,1,1,0,0,0
142,0,2,1,1,25000,25000,4,9,45,1,1,0,1,1
143,1,3,3,0,35000,20207.25942,3,8,120,1,0,0,0,0
144,0,7,2,1,75000,53033.00859,3,5,15,1,1,1,1,1
145,1,9,2,1,95000,67175.14421,4,5,15,1,1,0,1,0
146,0,2,2,0,25000,17677.66953,1,4,30,0,1,1,1,1
147,1,1,1,0,15000,15000,5,8,60,1,1,0,0,0
148,0,7,2,1,75000,53033.00859,5,5,30,1,1,0,1,1
149,1,4,1,1,45000,45000,6,1,5,1,0,0,0,0
150,0,7,2,1,75000,53033.00859,8,7,10,0,1,1,0,0
153,0,1,1,0,15000,15000,5,7,5,0,1,0,1,1
154,1,4,1,1,45000,45000,3,2,5,1,1,0,0,0
156,1,2,4,0,25000,12500,4,2,20,1,1,0,0,0
157,0,0,1,0,5000,5000,6,7,5,0,1,1,1,1
158,1,5,5,0,55000,24596.74775,4,3,10,1,1,0,0,1
159,0,2,3,0,25000,14433.75673,3,3,15,0,1,1,0,1
160,1,4,3,1,45000,25980.76211,6,6,80,1,1,0,0,0
161,0,3,3,0,35000,20207.25942,6,4,10,0,1,1,1,0
163,0,0,5,0,5000,2236.067977,15,1,0,0,1,1,1,0
164,1,1,1,0,15000,15000,4,9,10,1,1,0,0,0
166,1,7,4,1,75000,37500,2,4,45,1,0,0,0,0
167,0,10,2,1,125000,88388.34765,3,8,15,0,1,0,1,0
169,0,6,2,1,65000,45961.94078,8,8,0,0,1,1,1,1
170,1,11,4,1,150000,75000,3,3,20,1,1,0,1,0
171,0,4,4,0,45000,22500,4,8,5,1,1,1,1,1
172,1,2,2,0,25000,17677.66953,4,7,30,1,0,0,0,0
173,0,10,4,1,125000,62500,10,3,20,0,1,1,1,1
174,1,7,3,1,75000,43301.27019,4,1,45,1,1,0,0,0
175,0,8,9,1,85000,28333.33333,8,4,15,0,1,0,1,1
176,1,0,1,0,5000,5000,12,4,20,1,0,0,0,0
178,1,2,2,0,25000,17677.66953,35,3,30,1,1,0,1,0
179,0,10,4,1,125000,62500,4,2,10,0,1,1,0,1
180,1,4,2,1,45000,31819.80515,8,1,5,1,1,0,0,0
181,0,5,3,1,55000,31754.26481,5,1,5,1,1,0,1,1
182,1,5,1,1,55000,55000,5,7,3,1,1,0,0,0
183,0,0,2,0,5000,3535.533906,24,1,15,0,1,1,0,1
184,1,7,4,1,75000,37500,10,1,2,0,1,0,0,0
185,0,0,1,0,5000,5000,12,1,5,0,1,0,0,0
186,1,10,2,1,125000,88388.34765,8,2,10,1,1,1,1,1
187,0,4,1,1,45000,45000,2,1,30,1,1,1,1,1
188,1,1,2,0,15000,10606.60172,10,3,15,1,0,0,0,0
189,0,4,4,0,45000,22500,4,6,6,0,1,0,1,1
190,1,0,3,0,5000,2886.751346,5,6,0,1,0,0,1,0
192,1,2,2,0,25000,17677.66953,5,5,1,1,0,0,0,0
193,0,2,5,0,25000,11180.33989,3,5,100,0,0,0,1,1
196,1,3,2,0,35000,24748.73734,4,4,10,1,1,0,0,1
197,0,7,4,1,75000,37500,6,3,20,0,1,0,1,1
198,1,2,1,1,25000,25000,10,6,5,1,1,0,0,0
199,0,2,2,0,25000,17677.66953,4,7,60,0,1,1,0,0
200,1,5,3,1,55000,31754.26481,8,6,20,1,0,0,0,0
202,1,2,2,0,25000,17677.66953,8,1,10,0,1,0,0,0
203,0,10,3,1,125000,72168.78365,5,4,45,0,1,0,1,1
204,1,11,2,1,150000,106066.0172,6,3,10,1,1,1,1,1
205,0,10,6,1,125000,51031.03631,3,9,20,0,1,0,1,1
206,1,0,3,0,5000,2886.751346,12,9,30,1,1,0,0,0
207,0,10,6,1,125000,51031.03631,50,7,10,0,1,0,1,1
208,1,3,6,0,35000,14288.69017,9,4,0,1,0,0,0,0
210,1,2,1,1,25000,25000,3,2,20,1,1,0,0,0
211,0,11,4,1,150000,75000,4,5,10,0,1,0,1,1
212,1,4,4,0,45000,22500,6,5,15,1,0,0,0,0
213,0,0,1,0,5000,5000,4,7,10,1,1,1,1,0
214,1,3,1,1,35000,35000,4.5,6,10,1,1,1,0,0
215,0,2,1,1,25000,25000,8,9,5,0,1,1,1,0
217,0,3,2,0,35000,24748.73734,3,8,15,0,1,0,1,1
218,1,5,4,1,55000,27500,8,4,10,1,1,0,0,0
219,0,5,5,0,55000,24596.74775,2,3,10,0,1,0,1,0
220,1,3,4,0,35000,17500,4,2,10,1,1,0,0,0
221,0,0,2,0,5000,3535.533906,3,3,15,1,1,1,1,1
222,1,7,1,1,75000,75000,1.75,3,30,1,1,1,1,0
223,0,0,3,0,5000,2886.751346,3,4,10,0,1,1,0,0
224,1,10,4,1,125000,62500,4,3,10,1,1,0,1,0
225,0,3,4,0,35000,17500,5,5,20,0,1,0,1,0
226,1,5,4,1,55000,27500,7,6,30,1,1,0,0,0
227,0,7,3,1,75000,43301.27019,24,6,5,0,1,0,0,1
228,1,2,4,0,25000,12500,12,10,45,1,0,0,0,0
229,0,4,6,0,45000,18371.17307,4,4,15,0,1,1,0,0
230,1,0,1,0,5000,5000,8,5,15,1,1,0,0,0
231,0,5,6,0,55000,22453.65598,6,7,10,0,1,0,1,1
232,1,3,1,1,35000,35000,4,1,10,1,1,0,1,0
233,0,6,4,1,65000,32500,6,8,10,0,1,0,1,1
234,1,10,5,1,125000,55901.69944,7,7,10,1,1,0,0,0
235,0,5,4,1,55000,27500,6,9,15,0,1,0,1,1
237,0,8,2,1,85000,60104.0764,5,10,30,0,1,1,1,0
238,1,10,4,1,125000,62500,3,2,2,1,1,0,1,0
239,0,1,2,0,15000,10606.60172,15,9,30,0,1,1,1,0
240,1,7,1,1,75000,75000,3,3,0,1,1,1,1,0
241,0,1,1,0,15000,15000,5,7,30,0,1,1,0,1
242,1,6,4,1,65000,32500,3,4,5,1,1,0,0,0
243,0,6,9,0,65000,21666.66667,4,6,15,0,1,0,1,1
244,1,10,4,1,125000,62500,4,3,15,1,1,1,1,0
246,1,1,1,0,15000,15000,8,10,15,1,0,0,0,0
247,0,2,4,0,25000,12500,5,5,50,1,1,0,1,1
248,1,2,2,0,25000,17677.66953,5,4,10,1,0,0,0,0
249,0,4,4,0,45000,22500,8,3,60,0,1,0,1,1
250,1,6,3,1,65000,37527.7675,5,7,30,1,1,0,0,0
251,0,11,4,1,150000,75000,5,8,20,0,1,1,1,1
252,1,2,4,0,25000,12500,6,5,60,1,1,0,0,0
253,0,2,2,0,25000,17677.66953,4,6,20,0,1,0,1,1
254,1,5,2,1,55000,38890.87297,6,5,20,1,1,1,0,0
256,1,4,2,1,45000,31819.80515,5,6,5,1,1,0,0,0
257,0,0,2,0,5000,3535.533906,6,1,0,0,1,1,1,1
258,1,7,5,1,75000,33541.01966,10,8,4,1,0,0,0,0
259,0,3,1,1,35000,35000,2,6,15,0,1,0,1,1
260,1,0,5,0,5000,2236.067977,24,7,47,1,1,0,0,0
261,0,2,2,0,25000,17677.66953,6,3,20,0,1,1,1,1
262,1,1,1,0,15000,15000,7,1,6,1,0,0,0,0
263,0,5,4,1,55000,27500,3,7,20,0,1,1,0,0
264,1,6,5,1,65000,29068.88371,6,4,8,1,0,0,0,0
267,0,0,3,0,5000,2886.751346,8,1,0,0,1,1,1,1
268,1,2,3,0,25000,14433.75673,5,8,0,0,1,0,0,0
269,0,8,2,1,85000,60104.0764,4,11,30,0,1,1,1,1
270,1,10,5,1,125000,55901.69944,2,3,5,1,1,0,0,0
272,1,4,4,0,45000,22500,6,8,15,1,1,1,0,0
273,0,0,1,0,5000,5000,12,4,20,0,1,1,0,1
274,1,9,4,1,95000,47500,8,6,60,1,1,0,0,0
275,0,4,4,0,45000,22500,3,2,5,0,1,1,0,0
276,1,8,4,1,85000,42500,10,4,2,1,0,0,0,0
277,0,10,4,1,125000,62500,8,3,15,0,1,1,1,1
278,1,2,2,0,25000,17677.66953,2,1,10,1,1,0,0,0
279,0,3,4,0,35000,17500,5,2,20,0,1,0,1,1
280,1,8,5,1,85000,38013.15562,1,8,3,1,1,0,1,0
281,0,4,2,1,45000,31819.80515,13,6,20,1,1,1,1,0
282,1,3,4,0,35000,17500,3,2,30,1,1,0,0,0
283,0,5,2,1,55000,38890.87297,5,3,15,1,1,1,1,1
284,1,6,1,1,65000,65000,4,2,15,1,0,0,1,0
285,0,2,5,0,25000,11180.33989,10.5,4,30,0,1,1,1,1
286,1,11,5,1,150000,67082.03932,2,5,10,1,1,0,0,1
287,0,10,2,1,125000,88388.34765,3,2,5,1,1,0,1,1
288,1,3,6,0,35000,14288.69017,2,7,60,1,1,0,0,0
289,0,7,1,1,75000,75000,5,11,10,0,0,0,1,0
290,1,6,3,1,65000,37527.7675,4,2,60,0,0,0,0,0
291,0,1,3,0,15000,8660.254038,1,3,2,0,1,0,1,1
292,1,1,3,0,15000,8660.254038,5,1,5,1,1,0,0,0
293,0,5,6,0,55000,22453.65598,5,4,10,1,1,1,1,1
294,1,2,5,0,25000,11180.33989,10,4,30,1,1,0,0,0
295,0,2,2,0,25000,17677.66953,1,8,10,0,1,0,0,1
296,1,2,3,0,25000,14433.75673,5,1,5,1,1,0,0,0
297,0,4,2,1,45000,31819.80515,6,8,5,0,1,1,1,0
298,1,3,3,0,35000,20207.25942,10,6,15,1,1,0,1,0
299,0,8,4,1,85000,42500,2,3,10,1,1,0,1,0
300,1,0,5,0,5000,2236.067977,2,2,10,1,1,0,0,0
301,0,0,2,0,5000,3535.533906,4,8,0,0,1,1,1,1
302,1,5,2,1,55000,38890.87297,4,2,5,1,1,0,1,0
303,0,4,2,1,45000,31819.80515,2,2,30,1,1,1,1,1
304,1,3,2,0,35000,24748.73734,4,7,5,1,1,0,0,1
305,0,1,2,0,15000,10606.60172,4,7,10,0,1,0,1,1
307,0,3,2,0,35000,24748.73734,3,7,15,1,1,1,1,0
