subject,cond,age,gender,eth,diethist,dietnow
139,0,24,m,hispanic,6,6
140,1,35,m,Black,1,1
141,0,23,m,Asian American,2,1
142,1,23,m,White,2,1
143,0,23,f,White,6,5
144,1,28,m,White,2,2
145,0,33,m,White,3,5
146,1,25,m,Hispanic,5,3
147,0,52,f,caucasian,3,3
148,1,23,f,white,2,6
149,0,38,f,white,2,1
150,1,29,f,white,3,2
151,0,31,f,white,2,1
152,1,24,f,white,3,3
153,0,34,m,white,2,2
154,1,22,m,White/Caucasian,1,1
155,0,23,m,Mixed,7,7
156,1,29,f,White,3,1
157,0,24,f,African American,3,4
162,0,26,m,white,2,1
163,1,49,f,white,6,5
164,0,57,f,African American,5,5
165,1,22,f,asian,3,2
166,0,46,f,Caucasian,1,1
167,1,19,m,latino,4,3
168,0,49,f,white,1,2
169,1,22,m,Black,1,1
170,0,48,f,caucasion,2,2
171,1,26,m,white,4,5
172,0,24,m,Caucasian,3,1
173,1,20,m,white ,3,2
174,0,28,m,Asian,1,1
175,1,51,f,White,2,2
176,0,46,m,caucasian,4,4
177,1,50,f,causasian,5,5
178,0,25,m,White,5,5
179,1,26,f,white/caucasian,2,1
180,0,23,f,Caucasian,5,1
181,1,26,m,aaa,2,3
182,0,36,f,caucasian,6,6
183,1,22,m,white,1,1
184,0,21,f,caucasian,1,1
185,1,21,m,white/caucasion ,6,5
186,0,19,m,white,2,2
188,0,27,m,white,2,2
189,1,26,f,American,6,6
190,0,32,m,Caucasian,1,1
191,1,20,m,christian ,1,1
192,0,26,f,asian,6,5
193,1,22,f,white,6,4
194,0,31,f,white,3,7
195,1,24,f,asian,3,1
196,0,33,m,Black,5,1
197,1,48,m,Asian,2,2
198,0,27,f,White,3,4
199,1,20,m,White,1,1
200,0,36,f,African American/Hispanic decent,5,5
201,1,30,m,White,1,1
202,0,20,f,caucasian,4,1
203,1,38,f,white,6,6
204,0,31,f,white,2,1
205,1,39,f,asian,1,1
206,0,37,m,White,1,1
207,1,43,m,white,5,5
208,0,22,f,Asian,4,4
208,0,22,f,Asian,4,4
209,1,21,f,black,6,4
211,1,25,m,hispanic,3,3
212,0,23,m,Asian,1,1
213,1,48,m,latio,4,4
214,0,26,m,american,2,1
216,0,19,f,White,1,1
218,0,69,f,asian,1,1
219,1,26,m,christain,5,4
221,1,25,m,white,3,4
222,0,19,m,white,2,2
223,1,20,m,american,4,5
224,0,37,f,White,1,1
225,1,58,f,caucasion,7,6
226,0,53,f,white,1,1
227,1,25,f,Black,7,5
228,0,46,f,white,3,2
229,1,55,f,white,3,3
230,0,21,m,White,2,3
231,1,31,m,White,2,1
232,0,23,m,Asian,6,6
233,1,58,f,caucasian,4,5
234,0,57,f,white,4,4
235,1,53,f,white,6,6
236,0,48,m,white,1,1
237,1,28,m,White,5,5
239,1,59,m,Caucasian,1,1
240,0,34,m,Asian,4,4
241,1,18,f,Usa,5,3
242,0,20,m,native american,1,1
243,1,29,m,white,1,1
244,0,38,m,Asian,2,1
245,1,20,m,White,1,1
246,0,58,f,caucasian,4,3
247,1,21,m,White,5,5
248,0,56,f,white,4,1
249,1,56,f,white,2,3
250,0,64,f,caucasian,1,1
251,1,20,m,White,6,7
