subject,large,d1,d2,davg,split,cals,fat
6,1,7,6,6.5,1,8500,10
11,0,6,7,6.5,1,1200,11
125,0,6,7,6.5,1,1800,8
225,1,7,6,6.5,1,"10,000",11
251,1,6,7,6.5,1,"20,000",9
1,0,7,7,7,1,2000,11
10,1,7,7,7,1,11000,11
64,1,7,7,7,1,15000,9
117,0,7,7,7,1,1500,11
137,0,7,7,7,1,1600,11
155,0,7,7,7,1,2400,11
