Subject,cond,inc,house,inc2,ses,split,judge
71,0,7,2,75000,53033.00859,1,8
72,1,2,1,25000,25000,0,2
73,0,0,6,5000,2041.241452,0,6
74,1,2,1,25000,25000,0,11
78,1,1,4,15000,7500,0,16
79,0,0,2,5000,3535.533906,0,5
80,1,1,2,15000,10606.60172,0,14
81,0,9,2,95000,67175.14421,1,3
82,1,4,1,45000,45000,1,15
83,0,7,4,75000,37500,1,1
84,1,9,1,95000,95000,1,19
85,0,6,1,65000,65000,1,13
86,1,3,3,35000,20207.25942,0,18
87,0,2,2,25000,17677.66953,0,4
88,1,2,3,25000,14433.75673,0,6
89,0,4,3,45000,25980.76211,1,5
90,1,10,3,125000,72168.78365,1,18
91,0,6,1,65000,65000,1,13
92,1,9,2,95000,67175.14421,1,17
93,0,3,3,35000,20207.25942,0,5
94,1,2,2,25000,17677.66953,0,16
95,0,3,2,35000,24748.73734,0,13
96,1,2,2,25000,17677.66953,0,6
97,0,3,2,35000,24748.73734,0,7
98,1,3,2,35000,24748.73734,0,5
99,0,2,3,25000,14433.75673,0,3
100,1,10,4,125000,62500,1,5
101,0,2,1,25000,25000,0,10
102,1,5,4,55000,27500,1,10
103,0,3,3,35000,20207.25942,0,5
105,0,4,3,45000,25980.76211,1,5
106,1,4,2,45000,31819.80515,1,12
107,0,5,2,55000,38890.87297,1,12
108,1,4,2,45000,31819.80515,1,15
109,0,8,2,85000,60104.0764,1,7
110,1,6,2,65000,45961.94078,1,13
111,0,0,3,5000,2886.751346,0,7
112,1,8,3,85000,49074.77288,1,19
113,0,0,3,5000,2886.751346,0,4
114,1,6,2,65000,45961.94078,1,11
115,0,9,4,95000,47500,1,7
116,1,10,3,125000,72168.78365,1,6
117,0,4,4,45000,22500,0,8
118,1,5,3,55000,31754.26481,1,12
119,0,10,3,125000,72168.78365,1,10
121,0,11,5,150000,67082.03932,1,3
123,0,2,2,25000,17677.66953,0,8
125,0,11,2,150000,106066.0172,1,10
126,1,2,5,25000,11180.33989,0,5
127,0,0,4,5000,2500,0,8
128,1,3,5,35000,15652.47584,0,19
130,1,4,1,45000,45000,1,17
131,0,9,1,95000,95000,1,16
132,1,6,3,65000,37527.7675,1,14
133,0,3,2,35000,24748.73734,0,10
134,1,3,1,35000,35000,1,17
135,0,6,4,65000,32500,1,10
136,1,2,4,25000,12500,0,7
137,0,3,1,35000,35000,1,12
138,1,2,4,25000,12500,0,1
139,0,10,3,125000,72168.78365,1,7
141,0,4,4,45000,22500,0,3
142,1,2,3,25000,14433.75673,0,5
143,0,2,1,25000,25000,0,3
144,1,1,1,15000,15000,0,14
145,0,3,2,35000,24748.73734,0,15
146,1,3,3,35000,20207.25942,0,13
147,0,4,3,45000,25980.76211,1,14
149,0,7,4,75000,37500,1,10
150,1,2,1,25000,25000,0,12
151,0,11,4,150000,75000,1,10
152,1,9,2,95000,67175.14421,1,20
153,0,10,4,125000,62500,1,1
154,1,0,2,5000,3535.533906,0,1
155,0,7,4,75000,37500,1,11
156,1,3,2,35000,24748.73734,0,20
157,0,0,10,5000,1581.13883,0,13
159,0,3,2,35000,24748.73734,0,11
160,1,3,2,35000,24748.73734,0,11
161,0,6,5,65000,29068.88371,1,2
162,1,3,2,35000,24748.73734,0,9
163,0,1,2,15000,10606.60172,0,3
165,0,3,2,35000,24748.73734,0,11
167,0,5,4,55000,27500,1,5
168,1,7,4,75000,37500,1,1
169,0,7,3,75000,43301.27019,1,7
171,0,2,1,25000,25000,0,4
172,1,6,1,65000,65000,1,17
173,0,4,2,45000,31819.80515,1,7
174,1,5,2,55000,38890.87297,1,20
175,0,10,4,125000,62500,1,10
176,1,4,1,45000,45000,1,17
177,0,1,2,15000,10606.60172,0,1
178,1,0,1,5000,5000,0,2
179,0,0,1,5000,5000,0,17
180,1,0,3,5000,2886.751346,0,5
182,1,3,3,35000,20207.25942,0,17
183,0,2,1,25000,25000,0,3
184,1,8,3,85000,49074.77288,1,1
185,0,0,3,5000,2886.751346,0,7
186,1,8,2,85000,60104.0764,1,5
187,0,0,1,5000,5000,0,5
188,1,7,4,75000,37500,1,
190,1,2,2,25000,17677.66953,0,20
191,0,2,1,25000,25000,0,3
192,1,0,3,5000,2886.751346,0,5
193,0,4,4,45000,22500,0,20
194,1,8,4,85000,42500,1,11
195,0,4,2,45000,31819.80515,1,5
196,1,0,1,5000,5000,0,17
197,0,2,3,25000,14433.75673,0,11
198,1,8,2,85000,60104.0764,1,6
199,0,10,4,125000,62500,1,5
200,1,1,2,15000,10606.60172,0,16
201,0,8,4,85000,42500,1,18
202,1,6,3,65000,37527.7675,1,18
203,0,9,3,95000,54848.27557,1,5
204,1,7,1,75000,75000,1,19
205,0,5,3,55000,31754.26481,1,3
208,1,2,1,25000,25000,0,5
209,0,2,1,25000,25000,0,3
210,1,0,1,5000,5000,0,18
211,0,10,3,125000,72168.78365,1,4
212,1,10,3,125000,72168.78365,1,18
213,0,0,1,5000,5000,0,9
214,1,2,2,25000,17677.66953,0,4
215,0,0,5,5000,2236.067977,0,18
216,1,2,2,25000,17677.66953,0,8
217,0,7,3,75000,43301.27019,1,13
218,1,10,3,125000,72168.78365,1,17
219,0,3,1,35000,35000,1,8
220,1,1,1,15000,15000,0,12
221,0,0,4,5000,2500,0,20
222,1,0,2,5000,3535.533906,0,8
223,0,8,2,85000,60104.0764,1,12
224,1,2,2,25000,17677.66953,0,7
225,0,10,3,125000,72168.78365,1,13
227,0,5,2,55000,38890.87297,1,14
228,1,7,4,75000,37500,1,13
229,0,10,4,125000,62500,1,8
230,1,2,1,25000,25000,0,2
231,0,0,4,5000,2500,0,6
232,1,2,1,25000,25000,0,20
233,0,1,3,15000,8660.254038,0,14
234,1,9,4,95000,47500,1,20
240,1,2,2,25000,17677.66953,0,19
241,0,2,2,25000,17677.66953,0,10
242,1,0,3,5000,2886.751346,0,17
243,0,2,3,25000,14433.75673,0,13
244,1,9,3,95000,54848.27557,1,4
245,0,0,3,5000,2886.751346,0,8
247,0,1,1,15000,15000,0,12
248,1,3,4,35000,17500,0,8
249,0,2,2,25000,17677.66953,0,15
250,1,8,4,85000,42500,1,16
251,0,5,2,55000,38890.87297,1,10
252,1,8,4,85000,42500,1,20
253,0,7,3,75000,43301.27019,1,1
254,1,3,2,35000,24748.73734,0,19
255,0,5,2,55000,38890.87297,1,5
256,1,1,3,15000,8660.254038,0,13
257,0,5,11,55000,16583.12395,0,13
258,1,9,3,95000,54848.27557,1,10
259,0,2,7,25000,9449.111825,0,14
260,1,7,1,75000,75000,1,3
261,0,2,1,25000,25000,0,12
262,1,7,5,75000,33541.01966,1,4
263,0,10,2,125000,88388.34765,1,13
264,1,3,3,35000,20207.25942,0,10
265,0,5,4,55000,27500,1,11
266,1,2,1,25000,25000,0,17
267,0,2,1,25000,25000,0,9
268,1,1,2,15000,10606.60172,0,19
269,0,2,6,25000,10206.20726,0,9
270,1,3,3,35000,20207.25942,0,1
271,0,3,2,35000,24748.73734,0,15
272,1,1,6,15000,6123.724357,0,10
273,0,3,2,35000,24748.73734,0,12
274,1,4,2,45000,31819.80515,1,14
275,0,10,4,125000,62500,1,5
276,1,2,2,25000,17677.66953,0,15
277,0,2,3,25000,14433.75673,0,10
278,1,2,4,25000,12500,0,8
279,0,11,2,150000,106066.0172,1,5
280,1,9,4,95000,47500,1,12
281,0,1,3,15000,8660.254038,0,20
282,1,4,3,45000,25980.76211,1,13
284,1,9,7,95000,35906.62494,1,18
285,0,4,4,45000,22500,0,7
287,0,4,2,45000,31819.80515,1,2
288,1,3,3,35000,20207.25942,0,9
289,0,1,3,15000,8660.254038,0,13
290,1,5,4,55000,27500,1,5
291,0,3,1,35000,35000,1,7
292,1,5,3,55000,31754.26481,1,20
293,0,7,2,75000,53033.00859,1,2
294,1,8,6,85000,34701.10469,1,15
295,0,11,2,150000,106066.0172,1,7
296,1,6,2,65000,45961.94078,1,15
297,0,9,4,95000,47500,1,15
298,1,3,1,35000,35000,1,15
299,0,5,3,55000,31754.26481,1,6
300,1,4,3,45000,25980.76211,1,14
301,0,6,3,65000,37527.7675,1,3
302,1,6,3,65000,37527.7675,1,16
303,0,7,3,75000,43301.27019,1,4
304,1,3,4,35000,17500,0,3
305,0,4,1,45000,45000,1,6
306,1,5,3,55000,31754.26481,1,10
307,0,9,2,95000,67175.14421,1,5
308,1,5,2,55000,38890.87297,1,7
309,0,0,1,5000,5000,0,18
310,1,6,2,65000,45961.94078,1,14
311,0,8,4,85000,42500,1,10
312,1,3,2,35000,24748.73734,0,15
313,0,0,1,5000,5000,0,15
314,1,1,4,15000,7500,0,4
315,0,10,3,125000,72168.78365,1,4
316,1,3,1,35000,35000,1,8
317,0,7,5,75000,33541.01966,1,12
318,1,9,3,95000,54848.27557,1,11
319,0,9,4,95000,47500,1,10
320,1,5,4,55000,27500,1,20
321,0,6,4,65000,32500,1,5
322,1,9,1,95000,95000,1,14
323,0,6,2,65000,45961.94078,1,10
324,1,3,2,35000,24748.73734,0,17
325,0,3,5,35000,15652.47584,0,9
326,1,7,1,75000,75000,1,4
327,0,1,5,15000,6708.203932,0,4
328,1,1,2,15000,10606.60172,0,19
329,0,5,4,55000,27500,1,14
330,1,0,1,5000,5000,0,11
331,0,1,3,15000,8660.254038,0,4
332,1,5,3,55000,31754.26481,1,14
333,0,3,2,35000,24748.73734,0,11
334,1,4,3,45000,25980.76211,1,14
335,0,4,4,45000,22500,0,15
336,1,7,2,75000,53033.00859,1,10
337,0,9,4,95000,47500,1,12
338,1,4,3,45000,25980.76211,1,11
339,0,11,4,150000,75000,1,3
340,1,5,1,55000,55000,1,6
341,0,1,1,15000,15000,0,2
342,1,4,4,45000,22500,0,15
343,0,3,1,35000,35000,1,4
345,0,5,2,55000,38890.87297,1,10
346,1,1,1,15000,15000,0,17
347,0,2,2,25000,17677.66953,0,12
348,1,2,3,25000,14433.75673,0,3
349,0,9,3,95000,54848.27557,1,11
350,1,2,2,25000,17677.66953,0,14
351,0,5,3,55000,31754.26481,1,5
352,1,4,4,45000,22500,0,14
353,0,4,2,45000,31819.80515,1,3
354,1,4,1,45000,45000,1,18
355,0,5,1,55000,55000,1,15
356,1,1,3,15000,8660.254038,0,15
357,0,2,5,25000,11180.33989,0,3
358,1,0,3,5000,2886.751346,0,17
359,0,1,2,15000,10606.60172,0,6
360,1,11,3,150000,86602.54038,1,20
361,0,4,3,45000,25980.76211,1,10
362,1,5,2,55000,38890.87297,1,3
363,0,2,3,25000,14433.75673,0,16
364,1,4,6,45000,18371.17307,0,13
365,0,11,3,150000,86602.54038,1,17
366,1,4,4,45000,22500,0,12
367,0,5,2,55000,38890.87297,1,11
368,1,0,3,5000,2886.751346,0,5
369,0,5,2,55000,38890.87297,1,12
370,1,3,2,35000,24748.73734,0,4
371,0,0,2,5000,3535.533906,0,5
372,1,7,3,75000,43301.27019,1,7
373,0,3,1,35000,35000,1,8
374,1,7,4,75000,37500,1,4
375,0,8,2,85000,60104.0764,1,5
376,1,0,1,5000,5000,0,19
377,0,3,4,35000,17500,0,12
378,1,10,2,125000,88388.34765,1,2
379,0,8,4,85000,42500,1,10
380,1,5,2,55000,38890.87297,1,12
381,0,4,3,45000,25980.76211,1,6
382,1,3,2,35000,24748.73734,0,12
383,0,11,5,150000,67082.03932,1,7
384,1,5,2,55000,38890.87297,1,14
385,0,5,1,55000,55000,1,11
386,1,0,1,5000,5000,0,13
387,0,2,3,25000,14433.75673,0,3
388,1,0,3,5000,2886.751346,0,3
389,0,1,2,15000,10606.60172,0,3
390,1,1,2,15000,10606.60172,0,13
393,0,0,4,5000,2500,0,20
394,1,8,4,85000,42500,1,9
395,0,5,1,55000,55000,1,11
396,1,3,1,35000,35000,1,11
397,0,1,1,15000,15000,0,15
398,1,11,3,150000,86602.54038,1,3
399,0,2,1,25000,25000,0,13
400,1,0,1,5000,5000,0,12
401,0,1,1,15000,15000,0,10
402,1,2,5,25000,11180.33989,0,3
403,0,1,1,15000,15000,0,11
404,1,8,3,85000,49074.77288,1,14
405,0,4,5,45000,20124.6118,0,7
406,1,5,2,55000,38890.87297,1,3
407,0,4,2,45000,31819.80515,1,11
408,1,9,3,95000,54848.27557,1,1
409,0,1,1,15000,15000,0,17
410,1,5,4,55000,27500,1,8
411,0,6,4,65000,32500,1,9
412,1,2,2,25000,17677.66953,0,16
413,0,2,1,25000,25000,0,11
414,1,5,3,55000,31754.26481,1,1
415,0,10,4,125000,62500,1,15
416,1,3,3,35000,20207.25942,0,3
417,0,3,3,35000,20207.25942,0,7
418,1,10,3,125000,72168.78365,1,19
419,0,1,1,15000,15000,0,7
421,0,2,2,25000,17677.66953,0,18
422,1,7,2,75000,53033.00859,1,3
423,0,3,2,35000,24748.73734,0,4
424,1,5,6,55000,22453.65598,0,7
425,0,0,1,5000,5000,0,15
426,1,5,2,55000,38890.87297,1,14
427,0,4,5,45000,20124.6118,0,2
428,1,2,2,25000,17677.66953,0,9
429,0,2,1,25000,25000,0,9
430,1,6,5,65000,29068.88371,1,2
432,1,2,5,25000,11180.33989,0,3
433,0,0,3,5000,2886.751346,0,6
434,1,7,3,75000,43301.27019,1,15
435,0,0,1,5000,5000,0,10
436,1,2,1,25000,25000,0,10
437,0,1,6,15000,6123.724357,0,10
438,1,3,3,35000,20207.25942,0,3
439,0,3,6,35000,14288.69017,0,6
440,1,0,2,5000,3535.533906,0,1
441,0,4,4,45000,22500,0,7
443,0,3,5,35000,15652.47584,0,8
444,1,2,2,25000,17677.66953,0,13
445,0,5,4,55000,27500,1,12
446,1,1,1,15000,15000,0,2
447,0,6,2,65000,45961.94078,1,13
448,1,4,4,45000,22500,0,19
450,1,1,4,15000,7500,0,20
451,0,7,1,75000,75000,1,13
452,1,3,2,35000,24748.73734,0,13
453,0,11,3,150000,86602.54038,1,10
455,0,1,3,15000,8660.254038,0,8
456,1,4,8,45000,15909.90258,0,7
457,0,3,2,35000,24748.73734,0,19
458,1,0,1,5000,5000,0,5
459,0,2,1,25000,25000,0,6
460,1,1,1,15000,15000,0,14
462,1,0,1,5000,5000,0,5
463,0,4,3,45000,25980.76211,1,10
464,1,5,2,55000,38890.87297,1,1
465,0,4,2,45000,31819.80515,1,4
466,1,6,3,65000,37527.7675,1,6
467,0,1,2,15000,10606.60172,0,10
468,1,0,2,5000,3535.533906,0,4
469,0,4,6,45000,18371.17307,0,14
470,1,7,2,75000,53033.00859,1,10
471,0,7,3,75000,43301.27019,1,4
472,1,0,1,5000,5000,0,17
473,0,2,1,25000,25000,0,19
474,1,3,2,35000,24748.73734,0,16
475,0,5,4,55000,27500,1,4
476,1,3,1,35000,35000,1,5
477,0,0,2,5000,3535.533906,0,11
478,1,2,1,25000,25000,0,14
479,0,5,2,55000,38890.87297,1,7
480,1,10,2,125000,88388.34765,1,15
481,0,5,3,55000,31754.26481,1,8
482,1,2,2,25000,17677.66953,0,5
483,0,3,1,35000,35000,1,7
484,1,3,2,35000,24748.73734,0,9
485,0,1,1,15000,15000,0,14
486,1,4,4,45000,22500,0,19
487,0,2,3,25000,14433.75673,0,5
488,1,2,1,25000,25000,0,15
490,1,5,4,55000,27500,1,7
492,1,2,3,25000,14433.75673,0,2
493,0,0,2,5000,3535.533906,0,6
494,1,1,1,15000,15000,0,5
495,0,5,3,55000,31754.26481,1,7
496,1,9,2,95000,67175.14421,1,13
497,0,10,3,125000,72168.78365,1,12
499,0,0,2,5000,3535.533906,0,7
500,1,1,2,15000,10606.60172,0,18
501,0,5,2,55000,38890.87297,1,15
502,1,2,7,25000,9449.111825,0,13
503,0,0,5,5000,2236.067977,0,9
504,1,10,4,125000,62500,1,6
505,0,1,3,15000,8660.254038,0,10
506,1,5,3,55000,31754.26481,1,18
507,0,4,1,45000,45000,1,15
508,1,5,4,55000,27500,1,1
509,0,5,3,55000,31754.26481,1,7
510,1,3,1,35000,35000,1,6
511,0,10,3,125000,72168.78365,1,7
512,1,4,3,45000,25980.76211,1,10
513,0,4,2,45000,31819.80515,1,8
514,1,2,1,25000,25000,0,6
515,0,1,2,15000,10606.60172,0,6
516,1,1,3,15000,8660.254038,0,5
517,0,1,3,15000,8660.254038,0,7
518,1,10,3,125000,72168.78365,1,20
519,0,3,3,35000,20207.25942,0,3
521,0,2,2,25000,17677.66953,0,16
522,1,7,4,75000,37500,1,2
523,0,8,4,85000,42500,1,8
524,1,4,4,45000,22500,0,9
525,0,10,2,125000,88388.34765,1,15
526,1,2,2,25000,17677.66953,0,8
527,0,2,2,25000,17677.66953,0,15
528,1,6,3,65000,37527.7675,1,20
529,0,7,2,75000,53033.00859,1,8
530,1,0,3,5000,2886.751346,0,11
531,0,5,4,55000,27500,1,5
532,1,6,4,65000,32500,1,20
533,0,6,5,65000,29068.88371,1,13
534,1,4,1,45000,45000,1,14
535,0,0,1,5000,5000,0,5
536,1,10,3,125000,72168.78365,1,16
537,0,0,4,5000,2500,0,6
538,1,8,3,85000,49074.77288,1,7
539,0,10,5,125000,55901.69944,1,10
540,1,7,4,75000,37500,1,17
541,0,6,2,65000,45961.94078,1,4
542,1,7,5,75000,33541.01966,1,12
543,0,8,3,85000,49074.77288,1,13
544,1,7,1,75000,75000,1,18
545,0,5,1,55000,55000,1,11
546,1,7,1,75000,75000,1,12
547,0,2,2,25000,17677.66953,0,5
548,1,2,2,25000,17677.66953,0,16
550,1,7,2,75000,53033.00859,1,20
552,1,5,3,55000,31754.26481,1,9
553,0,2,4,25000,12500,0,6
555,0,7,2,75000,53033.00859,1,2
556,1,2,2,25000,17677.66953,0,10
559,0,5,5,55000,24596.74775,0,3
560,1,4,4,45000,22500,0,7
561,0,2,3,25000,14433.75673,0,1
563,0,6,2,65000,45961.94078,1,15
564,1,3,3,35000,20207.25942,0,18
565,0,6,2,65000,45961.94078,1,5
566,1,3,3,35000,20207.25942,0,7
567,0,5,2,55000,38890.87297,1,3
569,0,3,3,35000,20207.25942,0,5
