subject,lgdiscount,lgsavings,income,house,edu,go,inc2,ses,split
153,1,1,3,6,1,1,35000,14288.69017,0
158,0,0,3,2,1,0,35000,24748.73734,0
159,0,1,1,5,2,1,15000,6708.203932,0
160,0,0,1,4,4,0,15000,7500,0
161,1,1,2,3,4,1,25000,14433.75673,0
162,1,1,3,3,2,1,35000,20207.25942,0
163,1,1,3,1,6,1,35000,35000,1
164,0,1,1,1,0,1,15000,15000,0
165,1,0,7,6,1,1,75000,30618.62178,1
166,0,0,2,2,4,0,25000,17677.66953,0
167,0,0,1,2,2,0,15000,10606.60172,0
168,0,0,5,3,2,0,55000,31754.26481,1
169,1,0,8,3,2,0,85000,49074.77288,1
170,0,0,7,5,2,0,75000,33541.01966,1
171,1,0,7,2,6,0,75000,53033.00859,1
172,0,1,3,1,4,1,35000,35000,1
173,1,0,1,2,4,0,15000,10606.60172,0
174,0,0,3,2,4,0,35000,24748.73734,0
175,1,1,5,2,2,1,55000,38890.87297,1
176,0,0,2,9,2,0,25000,8333.333333,0
177,1,1,1,1,6,1,15000,15000,0
178,1,0,4,3,1,0,45000,25980.76211,0
179,0,0,0,2,2,0,5000,3535.533906,0
180,0,1,3,2,4,1,35000,24748.73734,0
181,1,1,10,2,6,1,125000,88388.34765,1
182,0,1,2,2,2,1,25000,17677.66953,0
183,1,0,5,4,4,0,55000,27500,1
184,1,1,2,1,2,1,25000,25000,0
185,0,0,2,1,1,0,25000,25000,0
186,1,1,4,5,3,1,45000,20124.6118,0
187,0,1,2,4,1,1,25000,12500,0
188,0,1,1,1,1,1,15000,15000,0
189,1,1,2,1,2,1,25000,25000,0
190,0,1,0,2,5,1,5000,3535.533906,0
191,0,1,7,5,1,1,75000,33541.01966,1
192,1,0,5,4,4,0,55000,27500,1
193,0,0,0,2,2,0,5000,3535.533906,0
194,1,1,1,3,4,1,15000,8660.254038,0
195,0,0,1,4,2,0,15000,7500,0
196,1,0,6,4,4,0,65000,32500,1
197,0,1,10,3,4,1,125000,72168.78365,1
199,1,0,1,4,4,0,15000,7500,0
200,0,0,2,4,2,0,25000,12500,0
201,0,0,0,1,1,0,5000,5000,0
202,0,1,3,2,4,1,35000,24748.73734,0
203,1,0,7,4,6,0,75000,37500,1
204,1,0,2,1,4,0,25000,25000,0
205,1,1,3,1,4,1,35000,35000,1
206,1,1,7,3,2,0,75000,43301.27019,1
207,0,0,9,4,6,0,95000,47500,1
208,1,0,6,3,1,0,65000,37527.7675,1
209,1,0,4,1,2,0,45000,45000,1
210,1,0,8,1,4,0,85000,85000,1
211,1,0,7,2,4,0,75000,53033.00859,1
212,0,1,4,1,2,1,45000,45000,1
213,0,1,6,4,4,1,65000,32500,1
214,1,1,0,1,6,1,5000,5000,0
215,1,0,3,4,1,0,35000,17500,0
216,0,0,10,3,1,0,125000,72168.78365,1
217,0,1,2,1,3,1,25000,25000,0
218,0,0,6,2,4,1,65000,45961.94078,1
219,0,0,0,1,2,0,5000,5000,0
220,1,1,4,2,4,1,45000,31819.80515,1
221,1,0,4,2,3,0,45000,31819.80515,1
222,0,1,5,3,2,1,55000,31754.26481,1
223,1,0,3,1,1,0,35000,35000,1
225,0,1,2,1,2,1,25000,25000,0
226,0,0,6,5,4,1,65000,29068.88371,1
227,1,0,3,1,4,0,35000,35000,1
228,1,1,3,6,2,1,35000,14288.69017,0
229,0,0,7,4,2,0,75000,37500,1
230,1,1,5,4,4,1,55000,27500,1
231,0,1,9,2,6,1,95000,67175.14421,1
232,1,0,2,4,1,0,25000,12500,0
233,0,1,1,2,1,1,15000,10606.60172,0
234,0,0,5,6,4,1,55000,22453.65598,0
235,1,1,2,1,2,1,25000,25000,0
236,1,1,10,4,2,0,125000,62500,1
237,1,0,5,3,4,0,55000,31754.26481,1
238,1,0,4,1,4,0,45000,45000,1
239,0,1,6,3,6,1,65000,37527.7675,1
240,0,0,1,1,2,0,15000,15000,0
241,1,1,1,3,4,1,15000,8660.254038,0
242,0,1,2,2,1,0,25000,17677.66953,0
243,1,1,0,3,2,1,5000,2886.751346,0
244,0,0,6,4,3,0,65000,32500,1
245,1,1,5,3,3,0,55000,31754.26481,1
246,0,1,10,4,4,1,125000,62500,1
247,1,1,10,4,4,1,125000,62500,1
248,1,0,4,1,4,0,45000,45000,1
249,1,0,1,2,2,0,15000,10606.60172,0
250,0,1,4,1,4,1,45000,45000,1
252,0,1,3,3,2,1,35000,20207.25942,0
253,0,0,8,4,4,0,85000,42500,1
254,1,0,2,2,5,0,25000,17677.66953,0
255,0,0,1,1,2,0,15000,15000,0
256,0,0,1,2,1,1,15000,10606.60172,0
257,1,1,5,1,3,1,55000,55000,1
258,0,0,4,5,4,0,45000,20124.6118,0
259,0,0,0,2,2,0,5000,3535.533906,0
260,0,1,11,4,2,1,150000,75000,1
261,1,1,3,4,4,1,35000,17500,0
262,1,1,4,5,4,1,45000,20124.6118,0
263,0,0,4,1,4,1,45000,45000,1
264,1,1,0,1,1,1,5000,5000,0
265,1,1,9,2,4,1,95000,67175.14421,1
266,0,0,5,2,5,1,55000,38890.87297,1
267,1,1,3,1,4,1,35000,35000,1
268,1,0,3,1,4,1,35000,35000,1
269,0,1,3,4,2,1,35000,17500,0
270,1,0,10,4,2,1,125000,62500,1
271,1,1,6,3,4,1,65000,37527.7675,1
272,1,1,2,2,4,1,25000,17677.66953,0
273,0,1,1,3,1,1,15000,8660.254038,0
274,1,1,1,2,1,1,15000,10606.60172,0
275,0,0,10,2,6,0,125000,88388.34765,1
276,0,0,9,4,2,0,95000,47500,1
277,1,0,1,1,2,0,15000,15000,0
278,0,1,4,3,4,1,45000,25980.76211,0
280,0,0,4,4,3,1,45000,22500,0
281,1,1,7,4,6,1,75000,37500,1
282,0,1,4,2,1,1,45000,31819.80515,1
283,0,1,5,3,6,1,55000,31754.26481,1
284,0,0,6,2,4,0,65000,45961.94078,1
285,0,1,3,4,1,1,35000,17500,0
286,1,0,2,1,2,0,25000,25000,0
287,1,1,5,3,4,1,55000,31754.26481,1
288,0,1,4,4,2,0,45000,22500,0
289,1,0,7,2,4,0,75000,53033.00859,1
290,1,0,9,4,6,0,95000,47500,1
291,0,1,0,1,6,1,5000,5000,0
292,1,1,3,4,1,1,35000,17500,0
293,0,1,4,2,1,1,45000,31819.80515,1
294,0,0,6,4,4,1,65000,32500,1
295,1,1,10,3,4,1,125000,72168.78365,1
296,0,0,4,3,2,0,45000,25980.76211,0
297,1,1,0,5,2,1,5000,2236.067977,0
298,1,1,4,2,2,1,45000,31819.80515,1
299,1,0,2,4,2,0,25000,12500,0
300,1,1,6,2,4,1,65000,45961.94078,1
301,1,0,4,3,4,1,45000,25980.76211,0
303,1,1,5,2,5,1,55000,38890.87297,1
304,1,0,9,4,4,0,95000,47500,1
305,0,0,3,2,4,0,35000,24748.73734,0
306,0,0,3,5,1,0,35000,15652.47584,0
307,0,1,0,2,4,1,5000,3535.533906,0
308,0,1,2,3,3,1,25000,14433.75673,0
309,0,0,1,3,2,0,15000,8660.254038,0
310,1,1,6,3,4,0,65000,37527.7675,1
311,0,1,3,4,2,1,35000,17500,0
312,1,0,8,5,4,0,85000,38013.15562,1
313,0,1,10,3,4,1,125000,72168.78365,1
