Subject,Large Acc,Age,Gender,eth,Income,House,Free hrs
148,0,26,m,White,7,2,5
149,1,29,m,White/American,4,1,6
150,0,21,f,White,7,2,8
153,0,26,f,White/Hispanic,1,1,5
154,1,39,m,White,4,1,3
156,1,40,f,white,2,4,4
157,0,22,f,Black,0,1,6
158,1,22,m,Hispanic,5,5,4
159,0,26,f,caucasian,2,3,3
160,1,28,f,Caucasian,4,3,6
161,0,26,m,White,3,3,6
163,0,31,f,White,0,5,15
164,1,24,m,Asian/Vietnamese,1,1,4
166,1,28,f,CAUCASIAN/AMERICAN,7,4,2
167,0,24,f,White,10,2,3
169,0,33,f,White,6,2,8
170,1,33,m,Caucasian,11,4,3
171,0,20,m,white,4,4,4
172,1,25,f,Caucasian ,2,2,4
173,0,26,f,African-American,10,4,10
174,1,24,m,White,7,3,4
175,0,18,m,Caucasian,8,9,8
176,1,31,m,white,0,1,12
178,1,26,m,Caucasian,2,2,35
179,0,24,m,White,10,4,4
180,1,25,m,white,4,2,8
181,0,18,m,Caucasian,5,3,5
182,1,23,m,White,5,1,5
183,0,23,m,Caucasian,0,2,24
184,1,31,m,caucasian,7,4,10
185,0,24,m,Asian American,0,1,12
186,1,64,f,white,10,2,8
187,0,28,m,Asian,4,1,2
188,1,22,m,white,1,2,10
189,0,24,m,Asian,4,4,4
190,1,21,m,white,0,3,5
192,1,45,m,white,2,2,5
193,0,18,m,Caucasian,2,5,3
196,1,25,f,White,3,2,4
197,0,24,m,Chinese,7,4,6
198,1,25,f,African American,2,1,10
199,0,54,f,white,2,2,4
200,1,24,m,White,5,3,8
202,1,22,m,White,2,2,8
203,0,25,m,Caucasian,10,3,5
204,1,52,f,White,11,2,6
205,0,23,f,Native American and Pacific Islander,10,6,3
206,1,22,m,White,0,3,12
207,0,18,m,White,10,6,50
208,1,21,f,Caucasian,3,6,9
210,1,24,m,White,2,1,3
211,0,25,m,asian,11,4,4
212,1,31,m,Caucasian,4,4,6
213,0,25,m,White,0,1,4
214,1,25,m,White,3,1,4.5
215,0,33,m,white,2,1,8
217,0,29,m,WHITE AMERICAN,3,2,3
218,1,22,m,White/Caucasian,5,4,8
219,0,43,m,African American,5,5,2
220,1,25,m,Asian,3,4,4
221,0,37,f,mexican,0,2,3
222,1,30,m,White,7,1,1.75
223,0,21,m,White,0,3,3
224,1,22,m,white,10,4,4
225,0,25,m,Caucasian,3,4,5
226,1,22,f,white/pacific islander,5,4,7
227,0,27,m,filipino-american,7,3,24
228,1,23,m,caucasian,2,4,12
229,0,28,m,White,4,6,4
230,1,45,m,white,0,1,8
231,0,25,f,white,5,6,6
232,1,23,m,White,3,1,4
233,0,23,m,caucasian,6,4,6
234,1,21,m,Asian American,10,5,7
235,0,33,m,Hispanic,5,4,6
236,1,30,m,White American,5,1,5
237,0,27,m,White,8,2,5
238,1,44,m,Caucasian,10,4,3
239,0,22,f,Caucasian,1,2,15
240,1,32,m,Asian,7,1,3
241,0,36,m,Caucasian,1,1,5
242,1,35,m,Caucasian,6,4,3
243,0,18,m,White,6,9,4
244,1,19,m,White,10,4,4
246,1,28,m,Other,1,1,8
247,0,23,m,White,2,4,5
248,1,26,f,Caucasian,2,2,5
249,0,20,f,Asian,4,4,8
250,1,21,m,Hispanic Asian Mix,6,3,5
251,0,20,f,white,11,4,5
252,1,32,f,White,2,4,6
253,0,56,m,"White, European",2,2,4
254,1,22,m,Hispanic,5,2,6
256,1,26,m,Black,4,2,5
257,0,21,m,white,0,2,6
258,1,18,m,White,7,5,10
259,0,27,m,Caucasian,3,1,2
260,1,24,m,hispanic,0,5,24
261,0,22,m,White,2,2,6
262,1,26,m,W,1,1,7
263,0,35,f,caucasian,5,4,3
264,1,21,m,Black,6,5,6
267,0,20,m,White,0,3,8
268,1,18,m,Caucasian,2,3,5
269,0,34,f,white,8,2,4
270,1,20,m,Caucasian,10,5,2
272,1,20,m,Caucasian,4,4,6
273,0,37,m,White,0,0,12
274,1,21,f,White,9,4,8
275,0,30,f,HISPANIC,4,4,3
276,1,22,m,multiracial,8,4,10
277,0,48,m,caucasian,10,4,8
278,1,21,f,White/Asian,2,2,2
279,0,20,m,White,3,4,5
280,1,32,f,white,8,5,1
281,0,44,f,White,4,2,13
282,1,29,f,white,3,4,3
283,0,25,m,Caucasian,5,2,5
284,1,37,m,White,6,1,4
285,0,18,f,African,2,5,10.5
286,1,34,f,bi racial,11,5,2
287,0,28,m,White,10,2,3
288,1,33,f,white,3,6,2
289,0,31,m,white,7,1,5
290,1,26,m,White,6,3,4
291,0,28,m,white,1,3,1
292,1,25,m,white,1,3,5
293,0,20,m,Asian,5,6,5
294,1,24,m,spanish,2,5,10
295,0,40,m,black,2,2,1
296,1,25,m,White,2,3,5
297,0,30,m,white,4,2,6
298,1,19,m,Asian,3,3,10
299,0,34,m,White,8,4,2
300,1,43,f,Caucasian,0,5,2
301,0,19,m,White,0,2,4
302,1,27,m,White,5,2,4
303,0,37,m,african american,4,2,2
304,1,22,m,Caucasian,3,2,4
305,0,27,m,Mexican American,1,2,4
307,0,44,m,Caucasian,3,2,3
